,opening_price
0,106.53404594958134
1,108.8313825373013
2,107.90659442111287
3,106.51458871069856
4,104.69423666391093
5,105.68422542386966
6,102.64372810658773
7,104.68702888727279
8,105.85043090077664
9,99.52502721031827
10,101.28478794773595
11,99.8867509953489
12,102.44820364061769
13,103.89512145519771
14,105.47892838792175
15,107.86440218648428
16,108.2261241392591
17,110.47472743410296
18,109.43841019430748
19,103.45518634825457
20,105.95797183355116
21,102.45796454315129
22,107.34623499416344
23,108.41187482495783
24,107.13115079301598
25,105.83087386753533
26,103.05434844892584
27,101.43143779779734
28,101.33368048153534
29,100.74708650081223
30,99.35880193791705
31,95.49708970492541
32,93.0138543446415
33,97.08090018768505
34,99.80853635469713
35,99.02641415646806
36,97.3253002503988
37,97.8630091675187
38,97.49150384133154
39,99.36859308890641
40,100.73730477695975
41,101.53897810415539
42,100.91329240307209
43,100.88395412959184
44,99.62278271364559
45,100.21916066168606
46,102.90769563877086
47,102.65350076110614
48,105.05852726572849
49,104.36439373927614
50,103.74846794142836
51,104.47193721583808
52,104.84344452703218
53,103.88535014584875
54,102.53619000540165
55,102.28200725810623
56,101.48032645878092
57,101.46076858562257
58,100.57111061487399
59,103.68981033080313
60,104.60880834943447
61,102.83926631005748
62,102.05713877089255
63,103.82667783185987
64,103.7680347410394
65,105.09763246617808
66,103.93422095757302
67,105.49847433153204
68,105.38115741664475
69,105.89993950144611
70,104.95738611166816
71,108.05013528176345
72,109.72907309023127
73,109.23815203850583
74,109.66033397269486
75,110.00397625818603
76,110.8385354980208
77,110.96615430087996
78,110.21015131951647
79,109.83706793178267
80,109.37560496259609
81,107.17631179575434
82,108.9730580146173
83,110.76980216808487
84,112.05598682047511
85,112.45855013142324
86,113.24400852590206
87,114.05891152906622
88,115.94403065377361
89,115.25675687616074
90,115.01130793263927
91,117.32841035882075
92,114.44184168319543
93,116.46440020940096
94,115.73783953382328
95,115.30584131431208
96,115.92440310036031
97,116.78840431722635
98,116.89639783334592
99,117.68187719118157
100,117.91751420072232
101,117.22041273141579
102,117.63277307337174
103,116.47420679494157
104,117.58368841967528
105,118.34950871830607
106,118.44769573985418
107,118.74224097163615
108,119.42951778611565
109,119.0367919252844
110,119.96952532582227
111,120.39171101831379
112,121.84481604230434
113,123.50410564734437
114,127.69652170617623
115,127.34304476856146
116,127.53940872109523
117,127.45104757934722
118,128.15796669299215
119,125.6543126162868
120,125.04558611654967
121,124.09319389893119
122,124.16192645081853
123,123.16047462804467
124,122.03136499937294
125,122.64010430441068
126,121.8546353566048
127,121.6189988627666
128,122.45351940931579
129,124.9073181774285
130,126.44463879095615
131,124.68066678505379
132,125.5774389873723
133,124.77921128260117
134,124.36531750668846
135,125.0649893928973
136,125.13398348500996
137,123.55723253980618
138,123.43897702477655
139,122.42395752991308
140,122.0494756911367
141,119.51684092656366
142,123.13348284006055
143,124.6018265247919
144,127.31183772594703
145,130.47518252791463
146,131.9336715159954
147,129.48971190129032
148,130.06126329770493
149,130.33721962290625
150,130.7018525149917
151,132.23915371764292
152,133.03739016123555
153,135.4517458816251
154,134.59443010617443
155,135.00830307158165
156,135.2546606894782
157,132.39683270942814
158,132.18987308326865
159,132.6136293734179
160,134.64369002775965
161,134.14107176957543
162,134.81120037825298
163,133.96371588490385
164,134.41701595682497
165,134.02284658588803
166,135.1364285779903
167,136.19085005377093
168,136.83141519532353
169,137.41283421098743
170,136.93980098771786
171,135.69812876238706
172,133.57938985058394
173,138.18148895169654
174,135.41235047314072
175,137.72816774618946
176,136.8806766533709
177,138.38843303886117
178,138.32930263842275
179,139.44288946698862
180,138.1026471891557
181,138.28989890866922
182,135.00828446379825
183,136.08243107871786
184,131.36209866998786
185,131.8548271818264
186,131.84493462476865
187,134.61413269382433
188,136.5949024298847
189,135.07729273083413
190,134.07212113859742
191,134.825077379747
192,132.87726183971492
193,133.36175712367407
194,136.29832620104207
195,136.6542691166008
196,136.9904181193749
197,137.0991793206726
198,135.64573260686907
199,133.47050985908365
200,134.85472864744992
201,133.36173450549674
202,135.70505973265966
203,137.58368506358863
204,135.07227338474564
205,135.75450806856077
206,137.544119881558
207,138.45376502839943
208,138.0187221448842
209,135.26014498200237
210,134.38012562058177
211,136.2983178537937
212,136.22907502519712
213,134.3010535834371
214,135.41835328035563
215,135.81382344004507
216,138.72073410449119
217,139.42272667865865
218,137.66275954327844
219,138.78005465900017
220,135.95224188465312
221,137.87041874356382
222,138.5723992480776
223,136.4960623140948
224,138.08794204694013
225,134.71631895550777
226,133.43094092927296
227,135.21068793035488
228,135.5963019242788
229,135.53698498798565
230,135.9126954202687
231,136.93110652349148
232,138.54274612396773
233,138.11759525280195
234,138.48342791947275
235,139.20519531543206
236,139.36339562792753
237,138.18678895268917
238,136.89154423248462
239,137.40570035201367
240,135.33924209522834
241,137.82097983312465
242,137.77152110766582
243,142.77456801227305
244,142.45817371074764
245,141.90449652538587
246,143.2689410459135
247,142.63614880177266
248,143.19974435335064
249,143.33817720186542
250,142.7449083699122
251,142.22086843597052
252,142.35929349083835
253,143.70399521363404
254,144.63340441514427
255,145.08824891483056
256,145.3650849003473
257,147.2535889933933
258,148.380770407581
259,149.1816333309712
260,149.1237506659254
261,148.22092251569572
262,148.88566184900037
263,148.81621033741368
264,150.1654743626856
265,151.12782029372252
266,150.8996369837763
267,150.61192504397675
268,146.32602402484113
269,148.95509357331647
270,148.8658131357846
271,149.79838682059506
272,149.87777688128452
273,150.0960274261996
274,150.34403619006417
275,150.453176378884
276,151.79253122112377
277,153.88586773898768
278,154.22318915257463
279,153.08229369847146
280,152.7846439222426
281,156.1082158042214
282,156.87212814264288
283,156.23715642433712
284,156.31654508133687
285,158.1916286365394
286,157.73525851972482
287,155.53277590058738
288,157.52691133788377
289,157.0705590070076
290,155.84034037500697
291,158.0626687969842
292,157.67571967207158
293,160.56274876659896
294,161.53504226024734
295,160.48338563478623
296,162.10052978912896
297,161.33661852712348
298,163.0529679794477
299,166.09873197059062
300,165.3645615614447
301,166.07888415089522
302,164.87843505658074
303,166.18802659068706
304,159.8781959679004
305,162.48747102297997
306,166.51540283910128
307,172.67640907413872
308,170.8509357627716
309,169.08497560572866
310,175.74202376278257
311,182.57765113636685
312,179.5418054508572
313,181.40696549537964
314,182.13119657010347
315,189.14538784047582
316,184.1154026669029
317,181.6351446928031
318,181.80378945242725
319,184.14518534951623
320,187.08545076168318
321,185.98119768812532
322,182.22078794275035
323,166.9005981546445
324,173.29727427762387
325,168.83053927511062
326,162.4736691835862
327,151.62019805071628
328,164.4533434381745
329,172.89935268000843
330,167.6168611763203
331,165.18950982659513
332,161.76734629103967
333,150.2174979272684
334,157.34039822677371
335,156.31574018451988
336,144.54703970795146
337,146.7356247903874
338,139.27449876815305
339,139.27450952630608
340,137.28486747567234
341,142.03016089053466
342,145.24341339151707
343,136.30000615500785
344,143.0050783769355
345,148.13832327156163
346,147.63097258330484
347,150.96360442368308
348,151.65004842796262
349,158.57396013818416
350,152.20713412336096
351,151.07303920260946
352,154.29625987703645
353,159.48919857784995
354,168.7111562935931
355,164.81147169432217
356,165.49790450194976
357,163.4983359484604
358,168.12422464135474
359,170.31281953101325
360,173.39675217425332
361,178.56981429729692
362,175.7146881404448
363,172.6009063076569
364,170.5018368782699
365,173.2077397418884
366,171.16836007810667
367,175.67488678070472
368,174.68006937369273
369,172.3223538044758
370,179.06721044637385
371,174.88899656951065
372,173.58577466330755
373,179.68399881047563
374,181.13644743640268
375,183.21561314584287
376,184.02139454642656
377,182.20088542819047
378,185.8319706472791
379,181.6040050321918
380,176.61995629513882
381,178.13208658073543
382,184.7874102944795
383,184.07114467303728
384,184.36432397928067
385,184.95290624956849
386,182.74823870370994
387,185.8906426917557
388,179.76544864295616
389,180.30415806444861
390,182.28933993465614
391,182.09980517930765
392,183.8056839957743
393,184.37431853761305
394,183.85555880108365
395,182.17960848004438
396,185.49161455055668
397,187.54663806997064
398,190.6691038489842
399,192.66427382826203
400,190.08051294478267
401,184.13488849940262
402,192.42484236362722
403,194.55967938540897
404,193.5321754312986
405,198.11110459772738
406,195.3178471590834
407,201.60265432479892
408,201.11385772838446
409,197.32300451543895
410,199.24834693682632
411,195.30788239806603
412,197.40281328306847
413,202.65012426198524
414,205.1840005884207
415,208.32640890173488
416,209.94249436472143
417,209.5634335488489
418,215.80832430609829
419,213.10485690898392
420,213.96278286348326
421,205.63293216289176
422,209.054653674389
423,204.90467995031605
424,203.97692441102797
425,204.505646617128
426,213.14476042927697
427,208.69551090764733
428,206.69037051709034
429,199.9366924132325
430,200.9841633706641
431,203.1189990063368
432,202.01168116922133
433,200.51529403664952
434,203.90708015674522
435,211.00992369865236
436,213.65353279837942
437,214.38176335601926
438,211.82793796963628
439,214.33190074670563
440,211.1595535384757
441,206.66044025060287
442,204.79494247762344
443,208.93493727639418
444,208.25657844744217
445,209.0945657949415
446,210.02230407720404
447,211.49000549316406
448,209.5399932861328
449,213.86000061035156
450,214.7899932861328
451,213.10000610351562
452,217.8800048828125
453,222.88999938964844
454,228.17999267578125
455,227.0
456,225.50999450683594
457,227.97000122070312
458,229.27000427246094
459,215.10000610351562
460,206.5
461,207.60000610351562
462,213.39999389648438
463,207.1999969482422
464,204.24000549316406
465,208.4199981689453
466,210.6199951171875
467,200.0500030517578
468,202.8000030517578
469,197.19000244140625
470,205.05999755859375
471,207.89999389648438
472,199.85000610351562
473,203.5500030517578
474,210.8800048828125
475,209.35000610351562
476,207.72999572753906
477,213.49000549316406
478,208.0
479,207.22000122070312
480,208.82000732421875
481,207.05999755859375
482,210.50999450683594
483,211.22999572753906
484,218.7899932861328
485,222.72000122070312
486,223.0
487,217.10000610351562
488,220.14999389648438
489,220.4199981689453
490,215.8000030517578
491,213.1199951171875
492,213.92999267578125
493,215.02999877929688
494,213.85000610351562
495,211.58999633789062
496,207.6699981689453
497,204.07000732421875
498,203.5
499,204.2899932861328
500,203.88999938964844
501,214.02000427246094
502,222.0399932861328
503,222.25999450683594
